m,alpha,I_m
12,0.000000000000000,0.435882489875414
12,0.002537102031436,0.418167077077085
12,0.005074204062872,0.404095000484416
12,0.007611306094309,0.391485765633118
12,0.010148408125745,0.379783873756302
12,0.012685510157181,0.368719257514233
12,0.015222612188617,0.358181547847212
12,0.017759714220053,0.348050234094933
12,0.020296816251489,0.338270641178297
12,0.022833918282926,0.328787260883136
12,0.025371020314362,0.319575898888412
12,0.027908122345798,0.310610035330299
12,0.030445224377234,0.301860815628039
12,0.032982326408670,0.293297122766762
12,0.035519428440107,0.284924686063022
12,0.038056530471543,0.276767027422710
12,0.040593632502979,0.268726707912531
12,0.043130734534415,0.260861691615079
12,0.045667836565851,0.253156105231318
12,0.048204938597288,0.245544799137010
12,0.050742040628724,0.238136909405040
12,0.053279142660160,0.230779313513875
12,0.055816244691596,0.223632137449728
12,0.058353346723032,0.216528251761707
12,0.060890448754468,0.209605783470457
12,0.063427550785905,0.202755607985579
12,0.065964652817341,0.196023860493605
12,0.068501754848777,0.189427395211871
12,0.071038856880213,0.182855508772225
12,0.073575958911649,0.176512753693635
12,0.076113060943086,0.170169998615044
12,0.078650162974522,0.163985055537933
12,0.081187265005958,0.157896010662486
12,0.083724367037394,0.151822922749801
12,0.086261469068830,0.145987588077498
12,0.088798571100267,0.140152253405195
12,0.091335673131703,0.134429447917355
12,0.093872775163139,0.128847823448196
12,0.096409877194575,0.123266198979036
12,0.098946979226011,0.117885082403929
12,0.101484081257447,0.112557168137913
12,0.104021183288884,0.107262412374028
12,0.106558285320320,0.102188208311156
12,0.109095387351756,0.097114004248283
12,0.111632489383192,0.092164627808931
12,0.114169591414628,0.087344133949203
12,0.116706693446065,0.082523640089474
12,0.119243795477501,0.077931499837543
12,0.121780897508937,0.073364716180958
12,0.124317999540373,0.068893842120927
12,0.126855101571809,0.064580768667485
12,0.129392203603245,0.060267695214044
12,0.131929305634682,0.056194535320107
12,0.134466407666118,0.052135172069809
12,0.137003509697554,0.048232727403851
12,0.139540611728990,0.044427074356697
12,0.142077713760426,0.040724952673098
12,0.144614815791863,0.037173009829087
12,0.147151917823299,0.033702662938505
12,0.149689019854735,0.030404430297638
12,0.152226121886171,0.027198188111139
12,0.154763223917607,0.024153665673416
12,0.157300325949044,0.021243899178178
12,0.159837427980480,0.018453086943599
12,0.162374530011916,0.015871522896718
12,0.164911632043352,0.013395005630601
12,0.167448734074788,0.011111613802309
12,0.169985836106224,0.009022857553608
12,0.172522938137661,0.007095360697042
12,0.175060040169097,0.005354403629066
12,0.177597142200533,0.003832142410204
12,0.180134244231969,0.002554744505956
12,0.182671346263405,0.001508558483329
12,0.185208448294842,0.000713074650784
12,0.187745550326278,0.000197176981591
12,0.190282652357714,0.000000000000000
12,0.190713918222160,0.000000000000000
12,0.192819754389150,0.000115110011323
12,0.195356856420586,0.000567808082817
12,0.197893958452023,0.001433524384515
12,0.200431060483459,0.002712647145647
12,0.202968162514895,0.004454562207300
12,0.205505264546331,0.006711849607053
12,0.208042366577767,0.009529017203493
12,0.210579468609203,0.012983485972416
12,0.213116570640640,0.017128345549158
12,0.215653672672076,0.022051309836697
12,0.218190774703512,0.027835652917408
12,0.220727876734948,0.034597305836276
12,0.223264978766384,0.042452229970921
12,0.225802080797821,0.051543749277457
12,0.228339182829257,0.062053137374516
12,0.230876284860693,0.074189270259447
12,0.233413386892129,0.088214368111212
12,0.235950488923565,0.104478256973152
12,0.238487590955001,0.123438865863545
12,0.241024692986438,0.145758723561921
12,0.243561795017874,0.172445319895672
12,0.246098897049310,0.202792507371754
12,0.248635999080746,0.233237731748988
12,0.251173101112182,0.263682956126222
12,0.253710203143619,0.294128180503456
16,0.000000000000000,0.447214852905313
16,0.002504583240770,0.430415298145638
16,0.005009166481541,0.417252662648692
16,0.007513749722311,0.405455907813103
16,0.010018332963081,0.394475244811885
16,0.012522916203851,0.384084797733149
16,0.015027499444622,0.374166149763176
16,0.017532082685392,0.364578006240391
16,0.020036665926162,0.355310200620743
16,0.022541249166933,0.346305716050241
16,0.025045832407703,0.337539674707545
16,0.027550415648473,0.328999475593332
16,0.030054998889244,0.320634365960534
16,0.032559582130014,0.312401548672266
16,0.035064165370784,0.304386882301801
16,0.037568748611554,0.296490199381597
16,0.040073331852325,0.288725991335209
16,0.042577915093095,0.281115556306875
16,0.045082498333865,0.273601806584564
16,0.047587081574636,0.266225390440260
16,0.050091664815406,0.258962099042026
16,0.052596248056176,0.251766484108123
16,0.055100831296946,0.244753651033966
16,0.057605414537717,0.237740817959810
16,0.060109997778487,0.230924040395282
16,0.062614581019257,0.224161665645203
16,0.065119164260028,0.217423794303044
16,0.067623747500798,0.210911877877041
16,0.070128330741568,0.204399961451039
16,0.072632913982339,0.197947314976874
16,0.075137497223109,0.191685856874948
16,0.077642080463879,0.185424398773023
16,0.080146663704649,0.179220566995987
16,0.082651246945420,0.173209567218138
16,0.085155830186190,0.167198567440290
16,0.087660413426960,0.161217007159508
16,0.090164996667731,0.155456465705737
16,0.092669579908501,0.149695924251965
16,0.095174163149271,0.143935382798193
16,0.097678746390041,0.138411475338745
16,0.100183329630812,0.132901392209051
16,0.102687912871582,0.127391309079356
16,0.105192496112352,0.122071818423496
16,0.107697079353123,0.116812193617878
16,0.110201662593893,0.111552568812261
16,0.112706245834663,0.106446961856395
16,0.115210829075434,0.101437795374855
16,0.117715412316204,0.096428628893314
16,0.120219995556974,0.091557690132969
16,0.122724578797744,0.086798981975506
16,0.125229162038515,0.082040273818042
16,0.127733745279285,0.077434454375448
16,0.130238328520055,0.072926204542061
16,0.132742911760826,0.068417954708675
16,0.135247495001596,0.064115240209018
16,0.137752078242366,0.059857448699708
16,0.140256661483136,0.055650567454485
16,0.142761244723907,0.051643234269253
16,0.145265827964677,0.047635901084020
16,0.147770411205447,0.043821423634677
16,0.150274994446218,0.040064548773521
16,0.152779577686988,0.036439035312193
16,0.155284160927758,0.032932618775114
16,0.157788744168529,0.029542349949088
16,0.160293327409299,0.026286391736086
16,0.162797910650069,0.023175684412479
16,0.165302493890839,0.020170184523555
16,0.167807077131610,0.017380568172763
16,0.170311660372380,0.014699851787199
16,0.172816243613150,0.012195268546429
16,0.175320826853921,0.009908718888301
16,0.177825410094691,0.007797235437080
16,0.180329993335461,0.005888872722388
16,0.182834576576231,0.004208614391886
16,0.185339159817002,0.002778649387372
16,0.187843743057772,0.001618662493632
16,0.190348326298542,0.000746119703229
16,0.192852909539313,0.000176536461680
16,0.195357492780083,0.000000000000000
16,0.195416091408723,0.000000000000000
16,0.197862076020853,0.000180980819551
16,0.200366659261624,0.000805419898200
16,0.202871242502394,0.001910316716955
16,0.205375825743164,0.003558416720785
16,0.207880408983934,0.005801594980395
16,0.210384992224705,0.008719881198499
16,0.212889575465475,0.012393095420486
16,0.215394158706245,0.016935264416232
16,0.217898741947016,0.022452635660191
16,0.220403325187786,0.029091758461902
16,0.222907908428556,0.037013794778781
16,0.225412491669327,0.046438598011626
16,0.227917074910097,0.057603039687868
16,0.230421658150867,0.070845227951433
16,0.232926241391637,0.086594555862873
16,0.235430824632408,0.105458013674474
16,0.237935407873178,0.128353462973249
16,0.240439991113948,0.156558525025598
16,0.242944574354719,0.186613523914842
16,0.245449157595489,0.216668522804085
16,0.247953740836259,0.246723521693329
16,0.250458324077029,0.276778520582572
20,0.000000000000000,0.454014242594855
20,0.002484906649788,0.437897265771833
20,0.004969813299576,0.425393257290067
20,0.007454719949364,0.414174937301999
20,0.009939626599152,0.403736210286450
20,0.012424533248940,0.393835524422200
20,0.014909439898728,0.384323245662858
20,0.017394346548516,0.375178214116076
20,0.019879253198304,0.366296050166870
20,0.022364159848092,0.357639068490453
20,0.024849066497880,0.349190385881174
20,0.027333973147668,0.340963507625760
20,0.029818879797456,0.332868381911661
20,0.032303786447244,0.324916680632339
20,0.034788693097032,0.317145530258066
20,0.037273599746820,0.309442319643723
20,0.039758506396608,0.301932813722003
20,0.042243413046396,0.294478093772639
20,0.044728319696184,0.287162839100242
20,0.047213226345972,0.279956609815856
20,0.049698132995760,0.272764989039998
20,0.052183039645548,0.265807250420592
20,0.054667946295336,0.258849511801185
20,0.057152852945124,0.251958958600446
20,0.059637759594912,0.245249710646019
20,0.062122666244700,0.238540462691591
20,0.064607572894488,0.231883171406043
20,0.067092479544276,0.225422414116594
20,0.069577386194064,0.218961656827146
20,0.072062292843852,0.212500899537697
20,0.074547199493640,0.206265145327073
20,0.077032106143428,0.200052878702603
20,0.079517012793216,0.193840612078133
20,0.082001919443004,0.187729763624368
20,0.084486826092792,0.181765987664876
20,0.086971732742580,0.175802211705385
20,0.089456639392368,0.169838435745894
20,0.091941546042156,0.164068862420476
20,0.094426452691944,0.158353577125963
20,0.096911359341732,0.152638291831451
20,0.099396265991520,0.146948089965308
20,0.101881172641308,0.141481295335774
20,0.104366079291096,0.136014500706241
20,0.106850985940884,0.130547706076707
20,0.109335892590672,0.125191560036330
20,0.111820799240460,0.119973256071775
20,0.114305705890248,0.114754952107221
20,0.116790612540036,0.109536648142666
20,0.119275519189824,0.104539290655118
20,0.121760425839612,0.099569477355542
20,0.124245332489400,0.094599664055966
20,0.126730239139188,0.089753087377111
20,0.129215145788976,0.085031764742513
20,0.131700052438764,0.080310442107916
20,0.134184959088552,0.075666946696408
20,0.136669865738340,0.071194114726789
20,0.139154772388128,0.066721282757171
20,0.141639679037916,0.062340628026122
20,0.144124585687704,0.058116286721482
